,Name,Description,Category,URL,Small_Image,Large_Image
69,Telefilm,Vijf uitgeprocedeerde vreemdelingen besluiten zich tijdens de uitzetting te verzetten. Voor de autoriteiten staat er te veel op het spel en ze zetten alles op alles om de vijf het land uit te krijgen.,Films,https://www.npostart.nl/telefilm/23-03-2013/NCRV_1602197,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1069853.jpg
70,Stille Nacht,Een groep Utrechtse studentes gaat op jacht naar de serieverkrachter die deze stad onveilig maakt.,Films,https://www.npostart.nl/stille-nacht/07-08-2013/AVRO_1629295,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/201981.jpg
71,One Night Stand,"Babyboomer Bram brengt zijn norse vader en een vriend naar het Duitse dorpje Urfeld, niet wetende dat dit tripje eigenlijk een executiemissie is.",Films,https://www.npostart.nl/one-night-stand/28-12-2012/NPS_1215673,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1461356.jpg
72,Telefilm,"Tegen het decor van het koninklijk huwelijk in Amsterdam zoeken een Argentijnse moeder, haar dochter en een Nederlandse man naar een geliefde die spoorloos is. Een film over omgaan met gemis.",Films,https://www.npostart.nl/telefilm/01-04-2013/VPWON_1199313,https://images.npo.nl/tile/320x180/163481.jpg,https://images.npo.nl/header/2560x1440/163481.jpg
73,One Night Stand,"De liefde tussen Thomas en Emma bevindt zich in een neerwaartse spiraal. Wanneer Emma besluit een paar maanden naar het buitenland te gaan, raakt Thomas in de ban van zijn angst haar te verliezen.",Films,https://www.npostart.nl/one-night-stand/18-01-2013/NPS_1215675,https://images.npo.nl/tile/320x180/1467824.jpg,https://images.npo.nl/header/2560x1440/1467824.jpg
74,Telefilm,"De laagbegaafde Brooke Heinke groeit op in het volkse Amsterdam Noord. Na het plotseling overlijden van haar moeder, vindt de 18-jarige Brooke steun bij Céline Dion en is al snel haar grootste fan.",Films,https://www.npostart.nl/telefilm/06-04-2013/VARA_101317619,https://images.npo.nl/tile/320x180/1069852.jpg,https://images.npo.nl/header/2560x1440/1069852.jpg
75,One Night Stand,De confronterende innerlijke zoektocht van Vincent. Door alle ervaringen die hij tijdens zijn werk als oorlogsfotograaf heeft opgedaan kan hij niet meer aarden in Nederland.,Films,https://www.npostart.nl/one-night-stand/11-01-2013/NPS_1211603,https://images.npo.nl/tile/320x180/966755.jpg,https://images.npo.nl/header/2560x1440/966755.jpg
76,Zappbios,"In het dorp gaat het gerucht dat er een wolf in het bos is. Niemand, behalve het jongetje Anton, gelooft het gerucht. Als Roodkapje op een dag alleen naar haar grootmoeder gaat, komt ze de wolf tegen.",Films,https://www.npostart.nl/zappbios/04-09-2013/POW_00562450,https://images.npo.nl/tile/320x180/492884.jpg,https://images.npo.nl/header/2560x1440/492884.jpg
77,KORT! 2008,"Jos moet een presentatie houden. Die gaat fantastisch en hij krijgt staande ovatie en felicitaties van de directeur. Hij viert zijn succes met patat, kip en taart. Dat had hij beter niet kunnen doen.",Films,https://www.npostart.nl/kort-2008/30-03-2013/NPS_1223287,https://images.npo.nl/tile/320x180/succes_cdn_tile-1631196408.jpg,https://images.npo.nl/header/2560x1440/1015268.jpg
78,One Night Stand,"Chauffeur Ben Hunze heeft een busongeluk veroorzaakt in Spanje, waarbij vijf passagiers om het leven zijn gekomen. Sindsdien gaat hij gebukt onder een enorm schuldgevoel.",Films,https://www.npostart.nl/one-night-stand/25-01-2013/NPS_1215678,https://images.npo.nl/tile/320x180/1461354.jpg,https://images.npo.nl/header/2560x1440/1461354.jpg
