Name,Description,Category,URL,Small_Image,Large_Image,Tags
Billy,Buikspreker Gerard en zijn populaire pop Billy komen in een onderlinge relatiecrisis terecht als ze allebei verliefd worden.,Films,https://www.npostart.nl/billy/31-07-2021/VPWON_1333086,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1116000/1116924.jpg?cb=1524421322,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1116000/1116924.jpg?cb=1524421322,['Komedie']
Portrait de la jeune fille en feu,"Eind 18e eeuw krijgt schilderes Marianne opdracht een huwelijksportret van Heloïse te schilderen. Langzaam groeit de aantrekkingskracht tussen de twee vrouwen, totdat uiteindelijk de liefde ontvlamt.",Films,https://www.npostart.nl/portrait-de-la-jeune-fille-en-feu/31-07-2021/POW_04670564,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1124000/1124753.jpg?cb=1631446023,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1124000/1124753.jpg?cb=1631446023,"['Drama', 'Romantiek']"
Dolor y Gloria,"Een oude film van regisseur Salvador Mallo wordt opnieuw uitgebracht, wat hem weer in contact brengt met acteur Alberto. Door de ontmoeting wordt Salvador gedwongen zijn demonen onder ogen te komen.",Films,https://www.npostart.nl/dolor-y-gloria/08-08-2021/POW_04670565,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1123000/1123257.jpg?cb=1639919503,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1123000/1123257.jpg?cb=1639919503,['Drama']
Verliefd op Cuba,"Loes is het vertrouwen in de liefde verloren. Wanneer haar dochter Maartje besluit te trouwen met een Cubaan, vliegt ze erheen om aan te tonen dat haar schoonzoon uit is op een verblijfsvergunning.",Films,https://www.npostart.nl/verliefd-op-cuba/08-08-2021/AT_300001941,https://images.npo.nl/tile/320x180/1473536.jpg,https://images.npo.nl/tile/320x180/1473536.jpg,"['Komedie', 'Romantiek']"
"Zappbios: Takeover, gewisseld","Danny en Lodewijk komen uit totaal verschillende werelden, maar als zij elkaar ontmoeten blijkt dat ze iets gemeen hebben: hun uiterlijk. Daar maken ze gebruik van en duiken in het leven van de ander.",Films,https://www.npostart.nl/zappbios-takeover-gewisseld/21-08-2021/POW_04717926,https://images.npo.nl/tile/320x180/1602507.jpg,https://images.npo.nl/tile/320x180/1602507.jpg,['Komedie']
Zappbios: Zomerhelden,"Jonas wil graag de zomer doorbrengen in Slowakije bij zijn opa Bernard, maar zijn moeder wil er niets van weten. Met een plannetje weet hij toch weg te komen, maar eenmaal bij opa blijkt alles anders.",Films,https://www.npostart.nl/zappbios-zomerhelden/15-08-2021/POW_04783638,https://images.npo.nl/tile/320x180/1600677.jpg,https://images.npo.nl/tile/320x180/1600677.jpg,['Familie']
Happy End,"Als de 13-jarige Eve bij de rijke familie Laurent komt wonen, worden de verkrampte familiebanden blootgelegd. Door de ogen van Eve zien we de schijnwereld die de familie voor zichzelf geschapen heeft.",Films,https://www.npostart.nl/happy-end/11-09-2021/POW_03733816,https://images.npo.nl/tile/320x180/1311400.jpg,https://images.npo.nl/tile/320x180/1311400.jpg,['Drama']
Instinct,Een psychologische thriller over een ervaren psychologe die ondanks haar expertise geobsedeerd raakt door een zedendelinquent.,Films,https://www.npostart.nl/instinct/12-09-2021/BV_101407000,https://images.npo.nl/tile/320x180/1404265.jpg,https://images.npo.nl/tile/320x180/1404265.jpg,"['Drama', 'Thriller']"
Zappbios: Legende van Longwood,De twaalfjarige Mickey realiseert zich dat zij verbonden is met de legende van de Zwarte Ridder en dat zij de oude vloek kan verbreken en de vrede in Longwood terug kan brengen.,Films,https://www.npostart.nl/zappbios-legende-van-longwood/11-09-2021/POW_04955765,https://images.npo.nl/tile/320x180/1837155.jpg,https://images.npo.nl/tile/320x180/1837155.jpg,"['Avontuur', 'Familie']"
De Zitting,"Vlak voor de verkiezingen staan de gedoodverfde premierskandidaat en een bekende thrillerboekenschrijfster tegenover elkaar in de rechtbank, nadat zij hem van seksueel misbruik heeft beschuldigd.",Films,https://www.npostart.nl/de-zitting/19-09-2021/BV_101406873,https://images.npo.nl/tile/320x180/1605122.jpg,https://images.npo.nl/tile/320x180/1605122.jpg,['Drama']
Zeven kleine criminelen,De twaalfjarige Raffie is ten einde raad. Wanneer hij met zijn broertje en oma uit huis gezet dreigt te worden moet hij een plan bedenken om aan geld te komen. Samen met zijn vrienden besluit hij de bank te overvallen. Eén detail: de bank is zwaar beveiligd en het is nog niet eerder iemand gelukt hier een kraak te zetten. Lukt het Raffie en zijn vrienden wél?,Films,https://www.npostart.nl/zeven-kleine-criminelen/VPWON_1298926,https://images.npo.nl/tile/320x180/1202182.jpg,https://images.npo.nl/tile/320x180/1202182.jpg,['Avontuur']
Dwaalspoor,"Als de kleindochter van de gepensioneerde rechercheur Ron vermist raakt, kost het hem grote moeite om zich buiten het onderzoek te houden. Uit liefde voor zijn kleindochter gaat hij over grenzen.",Films,https://www.npostart.nl/dwaalspoor/26-09-2021/POW_05108218,https://images.npo.nl/tile/320x180/1613259.jpg,https://images.npo.nl/tile/320x180/1613259.jpg,['Drama']
Lena,"De 17-jarige Lena heeft alleen nog maar gedroomd over de liefde. Wanneer ze Daan ontmoet, die haar oprecht begeerlijk vindt, realiseert ze zich dat liefde in het echte leven gecompliceerder is.",Films,https://www.npostart.nl/lena/02-10-2021/VPWON_1333896,https://images.npo.nl/tile/320x180/1605434.jpg,https://images.npo.nl/tile/320x180/1605434.jpg,['Drama']
Parasite,"Als Ki-woo de privéleraar wordt van de dochter van een rijke zakenman, bedenkt hij een plan om ook zijn familie aan een baan te helpen. Wanneer dit plan lijkt te slagen, volgt een verrassing.",Films,https://www.npostart.nl/parasite/09-10-2021/POW_04625350,https://images.npo.nl/tile/320x180/1608903.jpg,https://images.npo.nl/tile/320x180/1608903.jpg,"['Horror', 'Sciencefiction']"
Alles van Waarde,"In de schaduw van een kerk worden 's nachts twee mannen, Marc en Rick, in elkaar geslagen. Zinloos geweld? Antihomogeweld?",Films,https://www.npostart.nl/alles-van-waarde/03-10-2021/VPWON_1323800,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1141000/1141616.jpg?cb=1632310977,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1141000/1141616.jpg?cb=1632310977,['Drama']
