,Name,Description,Category,URL,Small_Image,Large_Image,Tags
147,Tegenlicht Kort - Fossielvrij,"Een groeiende groep verontruste burgers vertrouwt niet meer op de politiek om klimaatverandering aan te pakken. Ze richten zich op de financiële sector en krijgen hulp uit onverwachte hoek. Grote banken als HSBC, Citibank en toezichthouder The Bank of England waarschuwen sinds kort voor de zogenaamde 'carbon bubble'. Investeren in kolen, olie en gas zorgt niet alleen voor stijgende temperaturen, maar brengt aanzienlijke financiële risico's met zich mee voor bijvoorbeeld de pensioenen. Met dit nieuwe wapen in handen roepen de actievoerders pensioenfondsen, universiteiten en andere fondsen op om hun investeringen in fossiele brandstoffen af te bouwen. Het vertrouwen daalt dat de politiek een oplossing voor klimaatverandering zal verzorgen. Een snel groeiende groep verontruste burgers kijkt naar andere manieren om klimaatverandering aan te pakken. Zij richten zich nu op de financiële wereld. Want volgens hen zit daar minstens net zoveel invloed als bij overheden. Pensioenfondsen, kerken en universiteiten worden opgeroepen investeringen uit fossiele brandstoffen terug te trekken. Deze divestment-beweging heeft aanhangers in meer dan twintig landen en groeit snel. Met resultaat: naast kerken en universiteiten heeft inmiddels ook het Noorse staatsinvesteringsfonds, goed voor meer dan 800 miljard euro, toegezegd zijn investeringen uit fossiele brandstoffen af te bouwen.",Documentaires,https://www.npostart.nl/tegenlicht-kort-fossielvrij/08-12-2015/WO_VPRO_2750707,https://images.npo.nl/tile/320x180/685746.jpg,https://images.npo.nl/tile/320x180/685746.jpg,"['Drama', 'Mystery']"
150,Veilig in het Bosch,Het verhaal van de Joodse psychiatrische inrichting 'Het Apeldoornsche Bosch' die door de nazi's in de Tweede Wereldoorlog niet gespaard bleef.,Documentaires,https://www.npostart.nl/veilig-in-het-bosch/08-11-2015/POW_02972067,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1129000/1129236.jpg?cb=1586814061,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1129000/1129236.jpg?cb=1586814061,"['Documentaire', 'Oorlog']"
151,Bureau Sport,"Deze laatste uitzending gaat over winnen. Met o.a. een uitgebreid interview met Tom Dumoulin, Nederlands favoriet voor het geel in de eerste etappe.",Documentaires,https://www.npostart.nl/bureau-sport/03-07-2015/VARA_101374697,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/65000/65088.jpg?cb=1363087106,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/65000/65088.jpg?cb=1363087106,"['Romantiek', 'Mystery']"
166,Documentaires Boeddhistische Omroep,De Boeddhistische Blik is een verzamelnaam waaronder alle programma's van de boeddhistische stroming vallen.,Documentaires,https://www.npostart.nl/documentaires-boeddhistische-omroep/POMS_S_NCRV_508001,https://images.npo.nl/tile/320x180/monnik_cdn_tile-1590104586.jpg,https://images.npo.nl/header/2560x1440/monnik_cdn_header-1590104586.jpg,[]
167,Teledoc,"Een alleenstaande Marokkaans-Nederlandse moeder strijdt voor haar vrijheid en die van haar tien kinderen. Een gevecht tegen sociale controle, vooroordelen en de lange arm der geschiedenis.",Documentaires,https://www.npostart.nl/teledoc/01-01-2016/VPWON_1256924,https://images.npo.nl/tile/320x180/694775.jpg,https://images.npo.nl/header/2560x1440/694775.jpg,[]
168,MO Doc,De Moslim Omroep zendt elke week een documentaire uit.,Documentaires,https://www.npostart.nl/mo-doc/POMS_S_NTR_413428,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1305787.jpg,[]
172,5 Jaar later,Vijf jaar geleden heeft Jeroen Pauw gesprekken gevoerd met spraakmakende Nederlanders over de toekomst. Sven Kramer vertelt over de hardheid voor zichzelf en anderen.,Documentaires,https://www.npostart.nl/5-jaar-later/30-12-2015/VPWON_1251408,https://images.npo.nl/tile/320x180/693808.jpg,https://images.npo.nl/tile/320x180/693808.jpg,['Documentaire']
177,Wat de kat ziet,"Voor de draaideur van een Hilversums ziekenhuis zit een kat. Kim Brand streek neer op de favoriete plek van het dier en laat vaste bezoekers aan het woord over ziekte, het leven en afscheid nemen.",Documentaires,https://www.npostart.nl/wat-de-kat-ziet/14-12-2015/VPWON_1256627,https://images.npo.nl/tile/320x180/688428.jpg,https://images.npo.nl/tile/320x180/688428.jpg,['Documentaire']
181,ZappDoc,Waarom moet je doen wat de anderen doen en waarom moet iedereen op elkaar lijken? In de documentaire Ninnoc kruip je in Ninnocs hoofd.,Documentaires,https://www.npostart.nl/zappdoc/13-03-2016/VPWON_1227359,https://images.npo.nl/tile/320x180/723824.jpg,https://images.npo.nl/header/2560x1440/723824.jpg,[]
182,NOS 65 jaar Molukkers in Nederland,"Een documentaire over vijf mannen en vrouwen die samen de geschiedenis van dertig jaar hiv en aids in Nederland zichtbaar maken. De verhalen over hun verleden, het leven nu en hun dromen voor de toekomst laten zien hoe verschillend het hiv-virus hun leven heeft beïnvloed.",Documentaires,https://www.npostart.nl/nos-65-jaar-molukkers-in-nederland/POMS_S_NOS_3525454,https://images.npo.nl/tile/320x180/65_jaar_Molukkers_in_nederland_cdn_tile-1653405306.png,https://images.npo.nl/tile/320x180/65_jaar_Molukkers_in_nederland_cdn_tile-1653405306.png,['Documentaire']
