,Name,Description,Category,URL,Small_Image,Large_Image
484,Makers van Morgen,"De natuur zelf een natuurdocumentaire laten maken. Vastbesloten ontwierp Ton Cox systemen om camera's op dieren te bevestigen. Zoals hij zelf zegt; ‘Een dier dat al twintig jaar op dezelfde plek woont, moet het toch beter kunnen filmen dan wij dat doen?’. Met zijn afstudeerfilm ‘Directed by Nature’ wil hij de kloof tussen mens en natuur verkleinen. De vraag is: gaat dit lukken? Is de natuur wel te regisseren?",Documentaires,https://www.npostart.nl/makers-van-morgen/30-11-2018/WO_VPRO_14959744,https://images.npo.nl/tile/320x180/1162160.jpg,https://images.npo.nl/header/2560x1440/1162160.jpg
485,2Doc Kort,"Leonardo, politiek cartoonist van de grootste krant van Brazilië, is ontslagen en ondergedoken na doodsbedreigingen door Bolsonaro's achterban. Zijn cartoons tonen wat er in Brazilië aan de hand is.",Documentaires,https://www.npostart.nl/2doc-kort/11-02-2019/VPWON_1302675,https://images.npo.nl/tile/320x180/1187618.jpg,https://images.npo.nl/header/2560x1440/1187618.jpg
486,2Doc Kort,Eind januari 2019 explodeerde in Londonderry voor het eerst in jaren weer een bom. Oisín Kearney en Loretta van der Horst volgen de activist die verdacht wordt van medeplichtigheid aan de aanslag.,Documentaires,https://www.npostart.nl/2doc-kort/26-02-2019/VPWON_1302674,https://images.npo.nl/tile/320x180/1192090.jpg,https://images.npo.nl/header/2560x1440/1192090.jpg
487,Andere Tijden Sport,In de wielerwedstrijd Dwars door België 1983 botste Gerrie Knetemann in volle koers op een auto. Men vreesde voor zijn leven.,Documentaires,https://www.npostart.nl/andere-tijden-sport/14-04-2019/VPWON_1302967,https://images.npo.nl/tile/320x180/1211105.jpg,https://images.npo.nl/header/2560x1440/1211105.jpg
488,Andere Tijden Sport,In de gouden jaren van het Nederlandse voetbal is hij tussen grootheden als Willem van Hanegem en Johan Cruijff een opvallende verschijning. Frans Derks.,Documentaires,https://www.npostart.nl/andere-tijden-sport/20-01-2019/VPWON_1296825,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1179600.jpg
489,2Doc Kort,Een groep doven reist naar het Vaticaan. Allemaal zijn ze ooit stelselmatig seksueel misbruikt door de nonnen en priesters van het Provolo Instituut in Verona. Ook door bisschop Carrao.,Documentaires,https://www.npostart.nl/2doc-kort/04-03-2019/VPWON_1302677,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1196135.jpg
490,De Kanarie in de Kolenmijn,Door de vele intimidaties en incidenten voelen Joden zich steeds minder veilig in Europa. Velen van hen willen migreren. Hanneke Groenteman reist naar grote Europese steden om dit te onderzoeken.,Documentaires,https://www.npostart.nl/de-kanarie-in-de-kolenmijn/VPWON_1266985,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/HANNEKE_METRO_cdn_header-1590053544.png
491,Voorbij de grenzen van Saoedi-Arabië,"Sinan Can reist dwars door Saoedi-Arabië en volgt een jaar lang de hervormingen van binnenuit. Het land wil nieuwe inkomsten aanboren en de deur openen voor toeristen. Zoals in Jeddah, waar veel jongeren hopen op meer veranderingen. Ze eisen gelijkwaardigheid tussen mannen en vrouwen, maar de conservatieve tegenstand is enorm. Eén verkeerd woord en je kan worden opgepakt. Hoe ver gaan ze in de strijd voor vrijheid?",Documentaires,https://www.npostart.nl/voorbij-de-grenzen-van-saoedi-arabie/BV_101390795,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/sinan-saoei-arabieuml-2-551872_cdn_header-1587152799.jpg
492,2Doc Kort,"Bobi Wine, de Oegandese hiphoppende oppositieleider van president Museveni, overleefde ternauwernood een aanslag. Regisseur Khalo Matabane volgt Wine, die zijn muziek en het verzet weer oppakte.",Documentaires,https://www.npostart.nl/2doc-kort/01-04-2019/VPWON_1303857,https://images.npo.nl/tile/320x180/1200867.jpg,https://images.npo.nl/header/2560x1440/1200867.jpg
493,2Doc:,"Portret van een bevlogen man die alles uit de kast trok voor een duurzame wereld, maar daar ook een prijs voor betaalde.",Documentaires,https://www.npostart.nl/2doc/18-05-2019/BV_101392945,https://images.npo.nl/tile/320x180/1218570.jpg,https://images.npo.nl/header/2560x1440/1218570.jpg
